week,language,weekend_users,total_users
3,CoffeeScript,483,1741
1,COBOL,4,14
2,Matlab,184,769
3,Ruby,4867,17163
3,Kotlin,5,15
3,Game Maker Language,24,64
4,Elixir,40,116
1,AutoHotkey,13,54
2,Erlang,100,404
3,VimL,956,3673
4,Python,6118,22217
4,ANTLR,2,7
2,Alloy,1,5
1,CSS,6114,21025
1,OCaml,62,234
3,Go,738,2331
3,Ada,10,27
2,Assembly,68,234
2,Pure Data,3,20
4,Boo,1,2
1,ASP,71,267
1,ColdFusion,12,79
1,Oxygene,2,3
1,ATS,2,6
3,Ceylon,2,7
4,Dart,73,219
1,Scheme,75,223
1,Standard ML,17,55
3,Verilog,29,99
1,SAS,0,10
3,XC,3,9
2,Clean,1,3
2,SuperCollider,3,10
3,LiveScript,19,49
1,Ragel in Ruby Host,1,1
2,Propeller Spin,2,14
4,AutoIt,6,17
4,Smalltalk,18,70
1,BlitzBasic,14,50
3,F#,64,176
3,Awk,7,15
4,Fantom,0,2
1,Shen,1,1
1,TeX,759,2603
2,R,1372,3082
2,Delphi,1,3
4,HaXe,1,5
4,Pike,1,5
2,Agda,10,23
1,Pan,0,3
2,SourcePawn,15,27
4,Logtalk,1,2
1,Elm,9,23
2,Glyph,1,2
3,Mathematica,3,11
4,Ecl,0,2
1,J,3,4
2,REALbasic,2,7
1,GAP,5,21
2,ActionScript,88,349
2,Volt,1,2
4,UnrealScript,4,12
4,Java,8721,29351
4,Gosu,1,21
4,Nu,1,3
1,Bluespec,1,5
4,Slash,3,17
1,Rebol,5,13
3,Objective-C++,23,76
4,Prolog,8,28
3,Xtend,6,29
4,TypeScript,193,543
4,Lua,497,1320
4,PureScript,2,7
2,M,9,30
4,AspectJ,1,8
3,Brightscript,5,11
3,ABAP,1,2
2,Mercury,8,28
3,Perl6,7,19
3,Factor,3,8
4,Nix,0,1
1,Objective-C,1301,4600
4,PogoScript,0,1
1,D,94,286
2,Forth,1,2
2,IDL,38,103
2,eC,1,2
4,Puppet,113,581
3,ooc,0,1
2,Gnuplot,9,26
4,Hy,1,1
1,Haskell,425,1234
2,DM,56,146
2,Cuda,20,71
4,DOT,4,14
2,XQuery,4,30
2,Augeas,0,2
2,Rust,135,336
4,Scala,510,1802
4,Eiffel,5,32
1,C++,4474,14300
3,KRL,1,3
4,PHP,4889,17758
3,Idris,2,11
3,Lasso,3,12
4,Opa,0,1
1,Shell,2367,8672
3,Objective-J,8,26
1,Io,1,5
2,XProc,0,4
3,Nimrod,11,21
3,Groovy,234,885
4,C,3565,11335
4,Julia,80,209
2,Arc,1,5
1,Parrot,0,4
2,Common Lisp,75,204
3,Haxe,65,167
2,MoonScript,3,7
4,CLIPS,0,1
3,Perl,604,2159
3,Squirrel,5,15
4,Emacs Lisp,387,1388
4,OpenEdge ABL,23,65
4,Red,1,3
2,Monkey,0,2
3,Processing,89,253
3,XML,2,8
1,Pascal,52,180
1,SystemVerilog,5,8
2,GAMS,0,1
1,C#,2565,8284
1,Harbour,0,1
2,nesC,9,76
4,Clojure,279,828
2,Visual Basic,79,289
4,NetLogo,1,7
1,Fancy,0,1
1,JavaScript,12372,42803
1,Apex,10,56
4,RobotFramework,0,1
2,PAWN,1,5
1,Inform 7,8,16
4,PowerShell,80,310
4,FLUX,1,5
3,Coq,13,59
3,Component Pascal,1,3
3,VCL,2,7
2,AppleScript,12,55
1,Swift,131,638
3,Tcl,22,73
4,Crystal,3,7
2,Nemerle,4,11
3,Logos,13,47
1,SQL,291,873
1,Turing,2,2
4,Stata,5,16
3,Frege,1,3
4,Arduino,164,470
3,VHDL,25,83
4,Max,15,52
1,Zephir,1,3
2,Dylan,5,13
1,XSLT,86,375
1,FORTRAN,50,271
3,xBase,3,13
2,Vala,11,41
4,Scilab,1,7
4,Mercury,4,22
2,Puppet,111,567
4,IDL,36,134
4,eC,1,3
2,TypeScript,211,584
1,Mathematica,2,8
3,Elm,7,20
4,DCPU-16 ASM,0,1
2,Slash,7,23
3,J,0,1
2,AspectJ,3,7
4,M,9,41
2,Lua,472,1298
2,PureScript,2,6
1,Xtend,7,32
4,ActionScript,107,355
4,REALbasic,1,8
1,Objective-C++,18,73
2,Ecl,1,6
3,Rebol,3,7
2,Nu,0,2
2,Java,9200,30889
2,HaXe,0,3
4,Delphi,1,1
1,Perl6,2,8
1,Game Maker Language,12,47
2,Smalltalk,22,77
1,CoffeeScript,493,1739
1,Go,666,2185
1,Ada,10,25
3,ColdFusion,16,81
3,ATS,3,10
4,SuperCollider,8,18
1,Ceylon,4,7
1,Verilog,38,116
3,Scheme,69,227
3,Standard ML,26,71
1,XC,3,16
3,SAS,2,18
4,Assembly,76,255
2,Dart,60,190
4,Erlang,106,383
3,Ragel in Ruby Host,1,4
4,Matlab,181,765
1,F#,50,164
2,ANTLR,4,11
2,Max,13,47
2,Scilab,0,1
2,Mirah,1,1
3,C#,2339,7656
2,Stata,6,26
3,Inform 7,7,16
4,PAWN,5,12
3,FORTRAN,64,268
2,NetLogo,4,12
4,Visual Basic,84,278
2,Clojure,268,848
3,XSLT,65,362
4,nesC,8,78
4,GAMS,0,2
2,Bro,0,2
4,MoonScript,2,5
2,OpenEdge ABL,11,48
1,Idris,5,16
1,Rouge,0,1
1,Lasso,3,14
1,Nimrod,5,18
2,Scala,586,1889
2,Eiffel,7,34
1,Haxe,58,178
4,Gnuplot,9,26
3,Grammatical Framework,1,2
1,Processing,135,362
4,XQuery,8,33
2,Pascal,65,201
2,SystemVerilog,3,12
1,nesC,7,76
2,Harbour,0,3
1,GAMS,0,2
3,JSONiq,0,1
1,Visual Basic,93,312
2,JavaScript,12485,42696
2,Apex,8,41
3,Crystal,3,7
1,PAWN,4,12
3,Arduino,140,464
3,RobotFramework,0,1
2,Swift,262,735
3,PowerShell,75,336
2,SQL,45,215
2,Turing,1,2
3,FLUX,1,6
2,Zephir,0,3
